Plant_ID	Experiment	Line	Site	Block	Cohort
8_0179	ecotypes	JAM.26.A	Jam	8_4	2008
8_0180	ecotypes	MIL.32.A1	Jam	8_4	2008
8_0181	ecotypes	MIL.68.B	Jam	8_4	2008
8_0182	ecotypes	MAH.48.A	Jam	8_4	2008
8_0183	ecotypes	JAM.1.A	Jam	8_4	2008
8_0184	ecotypes	MAH.38.B	Jam	8_4	2008
8_0185	ecotypes	JAM.17.A	Jam	8_4	2008
8_0186	ecotypes	PAR.7.B1	Jam	8_4	2008
8_0187	ecotypes	JAM.40.A	Jam	8_4	2008
8_0188	ecotypes	SILupper.2	Jam	8_4	2008
8_0189	ecotypes	JAM.15.A	Jam	8_4	2008
8_0190	ecotypes	MIL.70.A	Jam	8_4	2008
8_0191	ecotypes	MIL.21.B2	Jam	8_4	2008
8_0192	ecotypes	PAR.19.B	Jam	8_4	2008
8_0193	ecotypes	SILLow.2	Sil	8_5	2008
8_0194	ecotypes	SILLow.6	Sil	8_5	2008
8_0195	ecotypes	SILupper.2	Sil	8_5	2008
8_0196	ecotypes	PAR.13.A	Sil	8_5	2008
8_0197	ecotypes	MAH.11.A	Sil	8_5	2008
8_0198	ecotypes	SILLow.1	Sil	8_5	2008
8_0199	ecotypes	MIL.54.A	Sil	8_5	2008
8_0200	ecotypes	PAR.10.A6	Sil	8_5	2008
8_0201	ecotypes	MIL.53.A	Sil	8_5	2008
8_0202	ecotypes	MIL.21.B2	Sil	8_5	2008
8_0203	ecotypes	MAH.5.A	Sil	8_5	2008
8_0204	ecotypes	JAM.6.A	Sil	8_5	2008
8_0205	ecotypes	JAM.22.A	Sil	8_5	2008
8_0206	ecotypes	SILLow.7	Sil	8_5	2008
8_0207	ecotypes	PAR.7.B1	Sil	8_5	2008
8_0208	ecotypes	JAM.1.A	Sil	8_5	2008
8_0209	ecotypes	MAH.48.A	Sil	8_5	2008
8_0210	ecotypes	JAM.7.B	Sil	8_5	2008
8_0211	ecotypes	MAH.9.B	Sil	8_5	2008
8_0212	ecotypes	MAH.37.A	Sil	8_5	2008
8_0213	ecotypes	MIL.60.A	Sil	8_5	2008
8_0214	ecotypes	MIL.20.B	Sil	8_5	2008
8_0215	ecotypes	JAM.26.A	Sil	8_5	2008
8_0216	ecotypes	PAR.29.B2	Sil	8_5	2008
8_0217	ecotypes	JAM.17.A	Sil	8_5	2008
8_0218	ecotypes	MAH.8.A1	Sil	8_5	2008
8_0219	ecotypes	MAH.13.A	Sil	8_5	2008
8_0220	ecotypes	MIL.68.B	Sil	8_5	2008
8_0221	ecotypes	MAH.16.A	Sil	8_5	2008
8_0222	ecotypes	PAR.21.B2	Sil	8_5	2008
8_0223	ecotypes	PAR.22.A2	Sil	8_5	2008
8_0224	ecotypes	PAR.17.A1	Sil	8_5	2008
